Time	Open	High	Low	Close	Volume
2009-08-25 00:00:00	94.39	94.64	93.785	93.935	506293	10
2009-08-26 00:00:00	93.94	94.57	93.895	94.095	478295	10
2009-08-27 00:00:00	94.095	94.14	93.205	93.645	573611	13
2009-08-28 00:00:00	93.645	94.075	93.415	93.59	446803	11
2009-08-30 00:00:00	93.23	93.56	93.185	93.375	9825	84
2009-08-31 00:00:00	93.38	93.45	92.54	92.885	433238	11
2009-09-01 00:00:00	92.885	93.44	92.515	92.7	556855	11
2009-09-02 00:00:00	92.7	93.055	92.08	92.23	539084	12
2009-09-03 00:00:00	92.23	92.78	91.945	92.7	423429	11
2009-09-04 00:00:00	92.7	93.245	92.27	92.985	324762	12
2009-09-06 00:00:00	92.905	93.18	92.9	93.165	9137	100
2009-09-07 00:00:00	93.165	93.3	92.805	92.93	225788	13
2009-09-08 00:00:00	92.93	92.99	92.035	92.32	351741	14
2009-09-09 00:00:00	92.32	92.59	91.61	92.15	386915	10
2009-09-10 00:00:00	92.15	92.26	91.425	91.705	338650	10
2009-09-11 00:00:00	91.705	91.71	90.21	90.71	370171	9
2009-09-13 00:00:00	90.275	90.435	90.19	90.405	14604	48
2009-09-14 00:00:00	90.41	91.13	90.3	90.87	374009	11
2009-09-15 00:00:00	90.87	91.64	90.825	90.91	400758	10
2009-09-16 00:00:00	90.91	91.36	90.125	91.035	431410	12
2009-09-17 00:00:00	91.04	91.615	90.515	91.2	402663	14
2009-09-18 00:00:00	91.205	91.53	91.025	91.28	402494	13
2009-09-20 00:00:00	91.285	91.48	91.285	91.355	6384	72
2009-09-21 00:00:00	91.355	92.53	91.355	92.03	319991	16
2009-09-22 00:00:00	92.025	92.025	90.48	90.72	385732	13
2009-09-23 00:00:00	90.72	91.625	90.67	91.325	465723	17
2009-09-24 00:00:00	91.325	91.585	90.35	90.83	614666	15
2009-09-25 00:00:00	90.83	91.015	89.51	89.64	558141	20
2009-09-27 00:00:00	89.585	89.645	88.22	88.69	25659	30
2009-09-28 00:00:00	88.69	89.91	88.69	89.905	511929	18
2009-09-29 00:00:00	89.905	90.365	89.625	90.235	494137	14
2009-09-30 00:00:00	90.235	90.405	89.355	89.9	511091	13
2009-10-01 00:00:00	89.9	90.17	89.415	89.535	594319	15
2009-10-02 00:00:00	89.535	89.92	88.6	89.785	520426	13
2009-10-04 00:00:00	89.375	89.73	89.335	89.69	15410	23
2009-10-05 00:00:00	89.69	89.975	89.405	89.63	449377	17
2009-10-06 00:00:00	89.63	89.645	88.625	88.83	536878	14
2009-10-07 00:00:00	88.835	89.385	88.005	88.535	562300	12
2009-10-08 00:00:00	88.535	88.775	88.145	88.755	445215	15
2009-10-09 00:00:00	88.755	89.88	88.645	89.755	459020	19
2009-10-11 00:00:00	89.515	89.95	89.515	89.945	12298	80
2009-10-12 00:00:00	89.945	90.455	89.615	89.695	344412	14
2009-10-13 00:00:00	89.695	90.185	89.425	89.84	399767	12
2009-10-14 00:00:00	89.84	89.9	88.83	89.395	366422	14
2009-10-15 00:00:00	89.405	90.985	89.3	90.81	450163	13
2009-10-16 00:00:00	90.81	91.32	90.57	90.885	567397	19
2009-10-18 00:00:00	91.05	91.12	90.88	90.9	16034	37
2009-10-19 00:00:00	90.9	91.05	90.365	90.755	517284	14
2009-10-20 00:00:00	90.755	91.07	90.075	90.795	565961	15
2009-10-21 00:00:00	90.795	91.275	90.485	90.86	564551	14
2009-10-22 00:00:00	90.86	91.71	90.86	91.42	456203	13
2009-10-23 00:00:00	91.42	92.12	91.36	92.035	474034	11
2009-10-25 00:00:00	92.14	92.185	91.985	92.12	10599	28
2009-10-26 00:00:00	92.12	92.28	91.565	92.215	405808	14
2009-10-27 00:00:00	92.215	92.32	91.605	91.655	387432	10
2009-10-28 00:00:00	91.655	91.72	90.545	90.61	489002	14
2009-10-29 00:00:00	90.61	91.615	90.245	91.51	503266	9
2009-10-30 00:00:00	91.51	91.52	89.91	90.065	458777	8
2009-11-01 00:00:00	89.665	89.835	89.18	89.705	17789	36
2009-11-02 00:00:00	89.705	90.69	89.7	90.405	466780	17
2009-11-03 00:00:00	90.405	90.58	89.87	90.43	455853	12
2009-11-04 00:00:00	90.43	91.31	90.045	90.695	436483	17
2009-11-05 00:00:00	90.695	90.85	89.99	90.795	450931	13
2009-11-06 00:00:00	90.795	90.805	89.61	89.95	440544	8
2009-11-08 00:00:00	89.99	90.005	89.685	89.88	7524	39
2009-11-09 00:00:00	89.88	90.26	89.73	89.855	403732	10
2009-11-10 00:00:00	89.855	90.18	89.67	89.695	441583	9
2009-11-11 00:00:00	89.695	90.04	89.29	89.93	443436	16
2009-11-12 00:00:00	89.925	90.61	89.64	90.285	525474	11
2009-11-13 00:00:00	90.28	90.41	89.46	89.66	442290	17
2009-11-15 00:00:00	89.555	89.675	89.48	89.625	14516	32
2009-11-16 00:00:00	89.625	89.705	88.75	89.02	475595	17
2009-11-17 00:00:00	89.02	89.535	88.73	89.31	516492	9
2009-11-18 00:00:00	89.285	89.48	89.01	89.385	480765	10
2009-11-19 00:00:00	89.39	89.43	88.635	88.915	526785	13
2009-11-20 00:00:00	88.915	89.13	88.675	88.86	501754	9
2009-11-22 00:00:00	88.815	88.945	88.8	88.865	12716	32
2009-11-23 00:00:00	88.87	89.19	88.575	88.915	406312	14
2009-11-24 00:00:00	88.915	88.95	88.35	88.6	457459	14
2009-11-25 00:00:00	88.6	88.625	87.21	87.335	454945	13
2009-11-26 00:00:00	87.33	87.48	84.8	85.17	420873	14
2009-11-27 00:00:00	85.17	87.01	85.08	86.52	573585	17
2009-11-29 00:00:00	86.605	87.025	86.36	86.625	9141	62
2009-11-30 00:00:00	86.625	86.85	85.86	86.275	694807	16
2009-12-01 00:00:00	86.275	87.53	86.275	86.655	626889	13
2009-12-02 00:00:00	86.655	87.675	86.59	87.635	519188	21
2009-12-03 00:00:00	87.635	88.48	87.58	88.265	535985	14
2009-12-04 00:00:00	88.27	90.77	87.99	90.515	674117	17
2009-12-06 00:00:00	90.17	90.375	89.97	90.06	32056	55
2009-12-07 00:00:00	90.06	90.19	89.035	89.35	695445	18
