ts,middle_bid_price,largest_bid_price,largest_bid_size,largest_bid_size_price,largest_bid_size_value,top_5_bid_size_sum,middle_ask_price,largest_ask_price,largest_ask_size,largest_ask_size_price,largest_ask_size_value,top_5_ask_size_sum,ts_diff
1738022880000,3192.4138552583368,3194.39,25.13,3191.57,78.27,161.42,3196.3859204390988,3200.67,7.5,3196.74,381.35,451.73,1.0
1738022885000,3193.0968751672463,3194.73,28.46,3192.33,87.34,217.85,3196.5910878526443,3201.18,0.0,3196.74,303.09,472.57,1.0
1738022890000,3193.4634777402275,3194.75,72.07,3192.18,81.06,243.64,3196.5448535711344,3200.94,0.01,3197.35,78.27,190.15,2.0
1738022895000,3192.0885768926128,3194.29,71.32,3190.97,304.25,534.1,3196.524772669293,3200.6,0.01,3196.88,78.7,211.65,2.0
1738022900000,3193.0161062997176,3194.72,0.0,3192.28,89.38,195.95,3196.7726274872743,3197.42,118.12,3196.74,303.09,522.64,1.0
1738022905000,3193.445674722222,3196.08,10.31,3193.27,48.8,172.79999999999998,3197.7849107020193,3201.36,1.33,3198.4,81.22,174.42,1.0
1738022910000,3194.16090951324,3196.67,0.0,3193.76,92.1,267.56,3198.2185651755317,3202.68,0.0,3198.88,81.05,301.68,4.0
1738022915000,3195.575022192632,3196.56,10.63,3195.35,78.18,145.46,3199.3648171123973,3203.87,0.0,3199.84,44.66,131.69,1.0
1738022920000,3195.7721672601288,3197.82,9.92,3196.04,78.16,176.67,3200.8232110422373,3203.24,41.12,3201.2,78.17,193.84,1.0
1738022925000,3196.08627763329,3198.2,6.63,3195.45,79.97,226.32999999999998,3199.6303826738317,3204.18,0.08,3200.58,88.09,203.75,2.0
1738022930000,3197.09065082492,3199.68,0.0,3196.41,89.47,242.66,3200.912799800226,3205.47,0.0,3202.09,103.37,323.2,3.0
1738022935000,3197.440480319093,3199.12,62.15,3196.55,80.92,228.12,3201.022219538842,3205.21,0.0,3201.73,82.15,166.38,1.0
1738022940000,3197.982477248187,3199.3,12.87,3197.14,78.3,206.79,3201.761180622086,3205.52,0.01,3202.27,85.81,163.63,2.0
1738022945000,3197.455601847163,3199.52,6.94,3195.42,127.19,371.61,3201.3120125443593,3205.35,0.89,3201.94,78.99,220.67999999999998,2.0
1738022950000,3200.8478728367195,3203.3,0.0,3199.99,81.88,272.66,3205.431086278063,3209.1,0.0,3208.11,88.55,317.71,3.0
1738022955000,3198.9791955395453,3201.02,19.93,3198.03,78.1,243.65,3202.6357507180246,3206.91,0.0,3203.22,78.11,223.29999999999998,2.0
1738022960000,3197.699738782924,3199.81,0.83,3197.39,80.86,195.5,3201.857350573856,3206.16,0.66,3202.52,78.45,206.78,1.0
1738022965000,3198.1832334813894,3200.24,0.93,3197.97,79.93,167.41,3202.505065758572,3206.56,0.0,3203.08,78.11,198.23,1.0
1738022970000,3198.2241754131983,3201.8,10.74,3195.64,115.78,325.46999999999997,3203.2358871343213,3207.64,0.0,3203.86,85.61,253.7,1.0
1738022975000,3199.6217141054663,3201.8,40.93,3199.07,78.4,220.25,3204.0096274780526,3207.83,0.02,3204.29,78.14,177.1,2.0
1738022980000,3197.641827925224,3200.21,7.12,3197.49,78.12,282.16,3202.9066545639316,3206.64,0.0,3205.44,115.47,385.27,3.0
1738022985000,3198.9891849170563,3201.69,0.0,3198.35,78.09,265.72,3203.0737574844284,3207.53,0.0,3203.61,82.81,266.94,2.0
1738022990000,3198.550106035889,3200.49,0.01,3197.47,80.98,221.47,3201.832748123367,3206.62,0.0,3202.72,116.86,284.99,2.0
1738022995000,3198.8126051405293,3200.99,5.95,3197.99,81.42,170.57999999999998,3204.4620437505077,3206.87,278.2,3206.87,278.2,443.45,1.0
1738023000000,3199.85371641791,3201.32,33.44,3199.96,34.23,118.58,3203.085310832383,3207.25,0.29,3203.75,81.39,158.58,1.0
1738023005000,3198.244189394988,3200.62,9.33,3197.48,82.98,235.07,3201.6766594721867,3206.52,0.0,3202.65,79.69,206.82,2.0
1738023010000,3195.845834465377,3199.47,0.0,3192.84,143.91,374.63,3200.8190934830423,3205.44,0.0,3201.37,78.14,279.15999999999997,5.0
1738023015000,3196.9296508591065,3198.48,0.01,3196.17,78.19,190.97,3200.376799266755,3204.69,0.01,3201.34,79.64,286.42,2.0
1738023020000,3196.3365116573214,3197.84,0.0,3195.58,78.17,154.53,3199.875053872997,3204.58,0.0,3200.74,78.17,252.22,2.0
1738023025000,3194.0977041592128,3196.5,0.0,3193.53,78.38,245.19,3198.7056156999756,3203.15,0.0,3202.45,116.85,361.07,4.0
1738023030000,3194.9735407787684,3196.7,16.02,3194.15,82.03,146.82,3198.6900273613405,3199.91,0.78,3199.3,78.21,215.6,1.0
1738023035000,3194.033343307546,3196.26,8.57,3193.57,89.65,160.35,3198.0587641896986,3202.64,0.0,3198.7,89.39,217.45000000000002,2.0
1738023040000,3194.344661792026,3196.56,0.1,3193.52,80.15,203.76000000000002,3198.1368902456184,3202.83,2.89,3198.7,89.38,286.27,2.0
1738023045000,3193.952790245906,3196.36,0.0,3193.37,81.39,220.79,3197.5363581918864,3202.53,0.0,3198.5,79.8,240.45,2.0
1738023050000,3190.5122165856405,3194.18,0.0,3187.92,116.07,421.37,3196.2657566357843,3200.8,0.0,3196.16,78.28,277.93,6.0
1738023055000,3190.836481528101,3192.16,86.27,3192.16,86.27,214.49,3194.4567620904836,3196.49,24.56,3195.12,85.83,216.86,1.0
1738023060000,3192.495521690707,3194.53,3.12,3191.72,78.27,173.0,3196.084088005677,3200.93,3.36,3196.84,78.26,239.23000000000002,1.0
1738023065000,3191.7255465040116,3193.96,0.0,3191.2,81.59,176.37,3195.128144884756,3200.23,0.0,3196.35,78.28,275.58,3.0
1738023070000,3190.6993733703903,3192.15,14.7,3190.6,96.63,261.42,3194.6677504563804,3198.76,0.01,3194.86,78.8,222.62,1.0
1738023075000,3190.0862224211473,3191.59,28.56,3190.12,74.67,210.96,3193.694748164529,3198.12,2.69,3194.57,123.36,320.33,2.0
1738023080000,3189.5510198233333,3191.2,0.63,3189.41,124.32,361.43,3193.104573279969,3197.84,0.0,3192.49,83.95,356.48,3.0
1738023085000,3190.198911780243,3191.4,0.63,3190.27,19.74,48.269999999999996,3194.152519821162,3197.96,47.36,3194.57,129.36,274.89,2.0
1738023090000,3189.7172804251863,3191.56,8.57,3188.99,82.36,155.35,3192.9871000204544,3194.67,0.16,3194.15,80.63,174.57,1.0
1738023095000,3190.7916741196195,3193.14,0.75,3192.41,9.6,27.88,3194.8408536513375,3199.45,0.0,3195.76,81.47,157.45,1.0
1738023100000,3189.960897484611,3192.26,23.94,3189.84,384.2,462.82,3194.3042691990086,3198.57,0.0,3194.97,78.32,181.51,1.0
1738023105000,3189.2739824886044,3191.07,35.28,3188.59,78.37,168.41,3194.191722494507,3197.35,3.16,3193.71,78.36,201.82,1.0
1738023110000,3188.890214158967,3190.28,9.53,3188.22,78.36,136.78,3193.4038740043447,3197.03,11.12,3193.34,79.94,127.14,1.0
1738023115000,3188.370209506045,3189.93,0.0,3187.99,90.57,219.18,3193.0664314225055,3197.03,18.95,3193.11,78.84,202.3,1.0
1738023120000,3188.794880217596,3190.16,22.14,3187.71,78.37,272.18,3192.47860931377,3196.7,7.84,3192.88,78.69,173.47,2.0
1738023125000,3188.34449976859,3190.12,1.0,3187.87,82.83,207.67,3192.472937850377,3196.57,1.47,3193.01,78.37,167.82,1.0
1738023130000,3188.3321389786242,3190.52,45.74,3185.22,154.12,430.35,3192.6451956333635,3197.09,3.97,3192.96,101.33,335.75,2.0
1738023135000,3188.820436898796,3191.15,0.0,3188.8,92.06,382.82,3192.3685559493883,3197.3,0.0,3193.23,81.51,340.52,4.0
1738023140000,3189.404143254387,3190.44,9.4,3189.58,20.47,78.74,3193.2518767488777,3196.92,44.66,3193.24,78.52,217.97,2.0
1738023145000,3188.1486022816334,3189.54,37.5,3188.64,50.72,188.8,3192.0887121377204,3196.17,0.03,3192.51,81.04,222.16,1.0
1738023150000,3188.795598819926,3191.06,37.03,3187.19,100.58,391.53,3192.859201554028,3197.5,0.6,3193.56,89.77,349.89,3.0
1738023155000,3189.1782041398246,3191.25,11.0,3188.46,78.34,246.65,3193.1632321973493,3196.03,0.32,3193.57,80.99,337.78999999999996,2.0
1738023160000,3188.8652188312785,3190.83,30.02,3188.47,78.35,258.33,3192.6079155021994,3197.21,2.68,3193.61,78.35,315.5,3.0
1738023165000,3189.5941364642185,3190.99,110.56,3190.99,110.56,275.44,3193.4736064151075,3197.45,1.51,3193.87,80.65,252.35999999999999,1.0
1738023170000,3189.6712201575565,3191.51,0.03,3188.93,80.99,137.47,3193.392143179425,3197.81,31.44,3191.73,107.7,247.14000000000001,1.0
1738023175000,3188.456292476687,3190.36,0.03,3187.95,81.54,151.07,3192.7257190300716,3196.82,0.01,3193.07,85.86,163.65,1.0
1738023180000,3188.7832897305743,3190.43,0.0,3188.21,87.92,226.8,3192.9201717098663,3196.9,0.02,3193.33,78.67,232.5,1.0
