opentime,openprice,highprice,lowprice,closeprice
1737064800000,3.2906,3.2977,3.2453,3.2665
1737066600000,3.2665,3.2692,3.2,3.2231
1737068400000,3.2231,3.2469,3.1644,3.18
1737070200000,3.1801,3.2557,3.1746,3.2433
1737072000000,3.2432,3.2906,3.2422,3.264
1737073800000,3.264,3.2902,3.2602,3.2721
1737075600000,3.2721,3.276,3.2539,3.2712
1737077400000,3.2713,3.2923,3.2595,3.2791
1737079200000,3.2791,3.3165,3.2768,3.3002
1737081000000,3.3002,3.3477,3.3001,3.3431
1737082800000,3.3432,3.3457,3.3082,3.3362
1737084600000,3.3362,3.3411,3.2936,3.3067
1737086400000,3.3068,3.3171,3.2822,3.2944
1737088200000,3.2944,3.3177,3.2878,3.3068
1737090000000,3.3069,3.352,3.3068,3.3407
1737091800000,3.3408,3.3476,3.3127,3.3235
1737093600000,3.3234,3.339,3.3071,3.3107
1737095400000,3.3108,3.3422,3.3064,3.34
1737097200000,3.3401,3.3447,3.3243,3.336
1737099000000,3.336,3.337,3.291,3.3011
1737100800000,3.3012,3.3205,3.2332,3.2595
1737102600000,3.2595,3.2754,3.2308,3.2644
1737104400000,3.2643,3.2771,3.2257,3.2492
1737106200000,3.2493,3.2806,3.2474,3.2736
1737108000000,3.2736,3.2997,3.2735,3.2895
1737109800000,3.2895,3.2999,3.27,3.2908
1737111600000,3.2908,3.3183,3.2847,3.3037
1737113400000,3.3037,3.3262,3.2945,3.2975
1737115200000,3.2974,3.2975,3.2612,3.2668
1737117000000,3.2668,3.2708,3.2334,3.237
1737118800000,3.2371,3.2589,3.2371,3.2471
1737120600000,3.2471,3.2491,3.208,3.2378
1737122400000,3.2378,3.2688,3.2372,3.2644
1737124200000,3.2643,3.2655,3.22,3.2533
1737126000000,3.2533,3.2638,3.1783,3.198
1737127800000,3.1979,3.2225,3.1748,3.1989
1737129600000,3.1989,3.2472,3.1971,3.242
1737131400000,3.242,3.2597,3.2363,3.2417
1737133200000,3.2416,3.2536,3.2123,3.2228
1737135000000,3.2228,3.2256,3.1718,3.1866
1737136800000,3.1865,3.2084,3.1744,3.2031
1737138600000,3.2031,3.2131,3.1958,3.2031
1737140400000,3.2031,3.247,3.2028,3.2348
1737142200000,3.2348,3.2443,3.2202,3.2337
1737144000000,3.2338,3.2884,3.2257,3.2625
1737145800000,3.2626,3.2818,3.2517,3.2645
1737147600000,3.2645,3.2939,3.2631,3.288
1737149400000,3.2881,3.2888,3.2581,3.2772
1737151200000,3.2771,3.288,3.2685,3.279
1737153000000,3.2792,3.2842,3.2616,3.2679
1737154800000,3.2679,3.2811,3.2484,3.2799
1737156600000,3.2799,3.3172,3.2798,3.2911
1737158400000,3.2911,3.2973,3.2562,3.2733
1737160200000,3.2732,3.2807,3.241,3.2497
1737162000000,3.2496,3.2512,3.2164,3.2378
1737163800000,3.2378,3.25,3.2334,3.2454
1737165600000,3.2454,3.2853,3.2454,3.2713
1737167400000,3.2713,3.2874,3.2607,3.2704
1737169200000,3.2704,3.2788,3.2303,3.2387
1737171000000,3.2388,3.2458,3.1964,3.2396
1737172800000,3.2395,3.247,3.187,3.1957
1737174600000,3.1956,3.2188,3.1842,3.2026
