date,daily_open,daily_high,daily_low,daily_close,total_volume,total_quote_volume,avg_vwap,avg_trade_size,avg_trade_count_change,avg_taker_buy_volume_ratio,daily_volume_change,avg_buy_sell_volume_imbalance,avg_relative_volume,avg_volume_volatility,count_volume_spikes,avg_price_to_volume_ratio,total_trades,avg_taker_buy_volume_change
2022-12-26,15669.0,15725.0,15647.0,15693.0,113971.0,1786579574.0,2667.182831761451,52.39962136243386,0.0,0.0974977766334855,0.0,78.26180555555555,0.5301774914637551,120.97910324371132,181,152.49851524596212,351,0.0
2022-12-27,15693.0,15725.0,15657.0,15685.0,88690.0,1391623676.0,1840.7402660599648,18.08864399245978,0.0,0.052999694601616694,0.0,59.90416666666667,0.47333174014725043,119.56042409392697,146,108.31895678008554,367,0.0
2022-12-28,15685.0,15767.0,15681.0,15755.0,167337.0,2632789863.0,2838.8979101493233,61.96283003515734,0.0,0.10882542656237641,0.0,115.78819444444444,0.5641683881367027,208.92588147538873,187,152.07397121983902,459,0.0
2022-12-29,15755.0,15850.0,15550.0,15701.0,325564.0,5119004098.0,3220.716376962508,61.400086730188185,0.0,0.08712316061028232,0.0,173.25,0.5596658785458695,380.1427748910581,188,103.1843539266037,956,0.0
2022-12-30,15701.0,15704.0,15549.0,15633.0,132870.0,2077080262.0,2399.4735972784283,30.295704838688906,0.0,0.08907172940002096,0.0,88.72222222222223,0.5205970361767825,160.50116730156765,174,84.18756711236372,539,0.0
2022-12-31,15633.0,15710.0,15618.0,15677.0,69466.0,1088235245.0,2110.4517734173105,18.554502355283606,0.0,0.053198870735856434,0.0,44.104166666666664,0.447014002102443,75.76336553999681,141,118.85493255102958,383,0.0
2023-01-01,15677.0,15737.0,15651.0,15687.0,37933.0,595406011.0,1972.015493395333,15.55288318452381,0.0,0.06244462404214559,0.0,25.960416666666667,0.42337381003587715,49.99512537049675,140,149.7808172664369,285,0.0
2023-01-02,15687.0,15708.0,15601.0,15641.0,125604.0,1966009209.0,2608.239494626201,30.488274674131794,0.0,0.08125681598413713,0.0,86.05,0.5052015514548054,148.985990610114,161,91.5722666021077,631,0.0
2023-01-03,15641.0,15690.0,15617.0,15665.0,52279.0,817877055.0,2238.0087962128773,21.511149691358025,0.0,0.07057239649465612,0.0,34.425694444444446,0.47098944023102396,57.8074016748192,161,110.68031758999462,314,0.0
2023-01-04,15665.0,15688.0,15563.0,15590.0,129648.0,2026428765.0,2584.051562836153,41.09575727513228,0.0,0.08756910023292122,0.0,89.16666666666667,0.5148978628984414,155.81841673913854,177,140.16299483595222,383,0.0
2023-01-05,15590.0,15680.0,15590.0,15628.0,78168.0,1222571490.0,2225.4948003448917,32.14682622354498,0.0,0.07289815740398291,0.0,53.49444444444445,0.5057163179233536,97.89678829745868,165,90.63817669430834,336,0.0
2023-01-06,15628.0,15697.0,15610.0,15674.0,102786.0,1608430145.0,2662.7452326729226,46.02814566798942,0.0,0.09209454834169258,0.0,70.94722222222222,0.522197575289625,110.86500003679411,177,148.8400549209849,396,0.0
2023-01-07,15674.0,15685.0,15642.0,15668.0,98844.0,1548670087.0,2480.223289482199,49.237040343915346,0.0,0.10050616174966902,0.0,68.325,0.5036890132637933,101.7949096869397,170,116.8255480820763,311,0.0
2023-01-08,15668.0,15695.0,15639.0,15666.0,119834.0,1877654964.0,2404.305170430056,53.07358961640212,0.0,0.08253483774317108,0.0,82.89861111111111,0.5219848365393486,147.04410948696176,172,132.30248504266726,311,0.0
2023-01-09,15665.0,15690.0,15560.0,15634.0,92955.0,1453027931.0,2952.9809926031153,26.835547463724545,0.0,0.0794740388299246,0.0,58.90208333333333,0.6102868166186234,119.4214346227866,196,170.9923330625757,527,0.0
2023-01-10,15634.0,15684.0,15570.0,15600.0,85215.0,1331041157.0,2590.628250624608,30.643042328042327,0.0,0.0853839222864541,0.0,56.66736111111111,0.536032031612676,107.15924003931258,178,132.5226134232668,399,0.0
2023-01-11,15600.0,15659.0,15465.0,15473.0,71158.0,1106733645.0,2609.621331247771,14.856330835861309,0.0,0.059817984809847465,0.0,49.044444444444444,0.5140169702166202,85.08139938286085,167,128.73557401294323,639,0.0
2023-01-12,15473.0,15504.0,14352.0,15254.0,266913.0,4083654771.0,4236.80689185016,41.85064760267192,0.0,0.152075364885723,0.0,178.97291666666666,0.6772634637446432,272.01135621700627,226,157.07940927581902,1781,0.0
2023-01-13,15254.0,15302.0,15154.0,15178.0,128142.0,1948824573.0,3431.522226520445,36.43026830229955,0.0,0.09842448738726775,0.0,85.475,0.683084380109772,145.01468777144657,230,118.56765608902597,863,0.0
2023-01-14,15178.0,15264.0,15038.0,15168.0,203683.0,3089204663.0,4191.936183686082,51.628130139774385,0.0,0.15322233154306086,0.0,136.8659722222222,0.7636417874126211,223.54637703828783,268,157.08988404752336,1018,0.0
2023-01-15,15168.0,15237.0,15140.0,15188.0,55973.0,849683006.0,2476.714485208759,16.770041335978835,0.0,0.07569668391256737,0.0,37.81180555555556,0.5706347131962577,78.27119465662923,181,135.5305239811497,423,0.0
2023-01-16,15188.0,15188.0,14620.0,15079.0,143929.0,2163393625.0,2654.8813302424905,22.47131053520715,0.0,0.07664453020147159,0.0,99.23402777777778,0.5990917851327567,187.0662648888889,191,151.99774776051802,621,0.0
2023-01-17,15080.0,15178.0,15062.0,15113.0,129461.0,1957461287.0,3075.743373174087,31.08709495474927,0.0,0.07660624071796228,0.0,87.3548611111111,0.6252874450278934,136.97748440465222,207,139.52069088698133,769,0.0
2023-01-18,15113.0,15288.0,14806.0,15099.0,177180.0,2664279441.0,2666.6303410138776,29.331495680644895,0.0,0.06561110460018099,0.0,121.06805555555556,0.5772811790675293,223.8452498816306,189,148.75127470898963,628,0.0
2023-01-19,15099.0,15138.0,15019.0,15064.0,60789.0,916752263.0,2344.607725533094,20.0757457010582,0.0,0.06824137402208447,0.0,41.21319444444445,0.5438098959930338,87.61072658594023,173,135.67296242805995,362,0.0
2023-01-20,15064.0,15140.0,14993.0,15019.0,125437.0,1893564289.0,2890.7020963125547,28.252110722912352,0.0,0.0688770720351255,0.0,84.82152777777777,0.596334269481949,177.32546160304142,195,136.72600081345578,678,0.0
2023-01-21,15019.0,15130.0,15000.0,15092.0,143895.0,2167311188.0,3495.174012126424,35.71156034551868,0.0,0.11815867512627584,0.0,99.24375,0.6952499399509456,173.6344447165026,232,186.1297058837127,698,0.0
